Altium Designer Pick and Place Locations
E:\Documents\CanAssist\Altium\TSI_SAMP_SAMI\Project Outputs for TSI_SAMP_SAMI_V3.4\Generate Files\Pick Place\Pick Place for TSI_SAMP_SAMI_V3.4(SAMI_V3.5).txt

========================================================================================================================
File Design Information:

Date:       04-05-26
Time:       17:05
Revision:   fd7cb1f3b204e648983c852689a63004ab86bdb5
Variant:    SAMI_V3.5
Units used: mil

Designator Comment                       Layer       Footprint                          Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                  
H1         TAG_CONNECT_TC2030            BottomLayer TAG_CONNECT_TC2030                 -624.409      1336.969      180      TC2030-IDC                                                                                                                   
C69        10uF                          TopLayer    Cap_0603_M                         3074.803      2980.315      180      "Yageo - CC0603MRX5R7BB106 - CAP, MLCC, X5R, 10uF, 16V, 0603"                                                                
C68        10uF                          BottomLayer Cap_0603_M                         -141.732      1897.638      180      "Yageo - CC0603MRX5R7BB106 - CAP, MLCC, X5R, 10uF, 16V, 0603"                                                                
C67        10uF                          BottomLayer Cap_0603_M                         -141.732      1842.520      180      "Yageo - CC0603MRX5R7BB106 - CAP, MLCC, X5R, 10uF, 16V, 0603"                                                                
U1         "8.4V Charge current 1.1A"    BottomLayer LIPO-CHARGING_8.4V_10DFN           5003.937      -330.709      0        "IC BATT CHG LI-ION 2CELL 10DFN"                                                                                             
R72        0R                            BottomLayer Res_0603_M                         422.992       1665.862      180      "RES SMD 0 OHM JUMPER 1/10W 0603"                                                                                            
R65        0R                            BottomLayer Res_0603_M                         6078.740      1988.189      180      "RES SMD 0 OHM JUMPER 1/10W 0603"                                                                                            
R70        0R                            BottomLayer Res_0603_M                         1946.000      -212.000      90       "RES SMD 0 OHM JUMPER 1/10W 0603"                                                                                            
R69        0R                            BottomLayer Res_0603_M                         2006.000      -183.500      90       "RES SMD 0 OHM JUMPER 1/10W 0603"                                                                                            
R68        0R                            BottomLayer Res_0603_M                         2068.500      -159.000      90       "RES SMD 0 OHM JUMPER 1/10W 0603"                                                                                            
R67        0R                            BottomLayer Res_0603_M                         2130.000      -129.500      90       "RES SMD 0 OHM JUMPER 1/10W 0603"                                                                                            
R66        10k                           BottomLayer Res_0603_M                         5310.488      1813.358      90       "Res Thick Film 0603 10K Ohm 5% 1/10W 200ppm/C Molded SMD SMD Paper T/R"                                                     
C66        0.47uF                        BottomLayer Cap_0603_M                         5482.393      1566.257      180      "0.47 µF ±20% 25V Ceramic Capacitor X5R 0603 (1608 Metric)"                                                                  
C65        0.47uF                        BottomLayer Cap_0603_M                         5992.126      1562.992      0        "0.47 µF ±20% 25V Ceramic Capacitor X5R 0603 (1608 Metric)"                                                                  
C64        3.3nF                         BottomLayer Cap_0603_M                         5673.988      1554.358      90       "0603 3.3nF SMT Multilayer Ceramic Capacitor"                                                                                
C61        3.3nF                         BottomLayer Cap_0603_M                         5788.488      1554.358      90       "0603 3.3nF SMT Multilayer Ceramic Capacitor"                                                                                
C33        T491A106K010AT                BottomLayer CAPMP3.4X1.6_1.8N_KEM-M            5593.988      1614.193      270      "T491, Tantalum, MnO2 Tantalum, Commercial Grade, 10 uF, 10%, 10 VDC, SMD, MnO2, Molded, 3.8 Ohms, 3216, Height Max = 1.8mm" 
C32        T491A106K010AT                BottomLayer CAPMP3.4X1.6_1.8N_KEM-M            5873.606      1614.440      270      "T491, Tantalum, MnO2 Tantalum, Commercial Grade, 10 uF, 10%, 10 VDC, SMD, MnO2, Molded, 3.8 Ohms, 3216, Height Max = 1.8mm" 
R64        10k                           BottomLayer Res_0603_M                         5370.488      1912.358      270      "Res Thick Film 0603 10K Ohm 5% 1/10W 200ppm/C Molded SMD SMD Paper T/R"                                                     
R63        470R                          BottomLayer Res_0603_M                         5789.988      1673.858      90       "RES 470 OHM 1% 1/4W 0603"                                                                                                   
R62        470R                          BottomLayer Res_0603_M                         5673.988      1673.358      90       "RES 470 OHM 1% 1/4W 0603"                                                                                                   
R61        10k                           BottomLayer Res_0603_M                         5363.988      1726.358      90       "Res Thick Film 0603 10K Ohm 5% 1/10W 200ppm/C Molded SMD SMD Paper T/R"                                                     
R60        10k                           BottomLayer Res_0603_M                         5220.988      1613.358      0        "Res Thick Film 0603 10K Ohm 5% 1/10W 200ppm/C Molded SMD SMD Paper T/R"                                                     
R59        10k                           BottomLayer Res_0603_M                         5483.488      1617.358      180      "Res Thick Film 0603 10K Ohm 5% 1/10W 200ppm/C Molded SMD SMD Paper T/R"                                                     
R37        10k                           BottomLayer Res_0603_M                         5992.126      1618.110      0        "Res Thick Film 0603 10K Ohm 5% 1/10W 200ppm/C Molded SMD SMD Paper T/R"                                                     
Q5         BC848CLT1G                    BottomLayer onSemi_SOT-23_N                    5353.000      1586.000      270      ""                                                                                                                           
Q4         BC848CLT1G                    BottomLayer onSemi_SOT-23_N                    5153.000      1517.000      0        ""                                                                                                                           
Q3         BC848CLT1G                    BottomLayer onSemi_SOT-23_N                    5466.988      1731.358      0        ""                                                                                                                           
Q2         BC848CLT1G                    BottomLayer onSemi_SOT-23_N                    5212.000      1710.000      0        ""                                                                                                                           
J12        "3.5MM TRS"                   BottomLayer CONN_JACK_STEREO_3.5MM_SPDT_RA     6210.350      2670.858      180      "3.50mm (0.141", 1/8", Mini Plug) - Headphone Phone Jack Stereo (3 Conductor, TRS) Connector Solder"                         
J11        CONN_1.27mm                   BottomLayer CONN_10x_3220-10-0300-00           -646.654      925.354       90       "Connector Header Surface Mount 10 position 0.050" (1.27mm)"                                                                 
J10        CONN_2.54mm                   BottomLayer HDRV5W67P0X254_1X5_1270X241X858P   734.988       1825.858      0        "68000-105HTLF-B/S SR HDR 1*5"                                                                                               
U3         MAX6818EAP+T                  BottomLayer IC_DEBOUNCE_8IN8OUT_SMD            2361.488      -266.642      180      "Switch Interfacing Interface 20-SSOP"                                                                                       
S5         SW_TACTILE-NO                 TopLayer    SW_TACTILE_SPST-NO                 979.395       2902.200      90       "Switch, SPNO SMD"                                                                                                           
R35        0R                            BottomLayer Res_0603_M                         3927.988      -451.142      180      "RES SMD 0 OHM JUMPER 1/10W 0603"                                                                                            
R33        0R                            BottomLayer Res_0603_M                         3039.143      -371.528      270      "RES SMD 0 OHM JUMPER 1/10W 0603"                                                                                            
R31        0R                            BottomLayer Res_0603_M                         3825.488      -338.090      180      "RES SMD 0 OHM JUMPER 1/10W 0603"                                                                                            
R29        0R                            BottomLayer Res_0603_M                         2515.488      -631.642      0        "RES SMD 0 OHM JUMPER 1/10W 0603"                                                                                            
R27        0R                            BottomLayer Res_0603_M                         917.323       3590.551      180      "RES SMD 0 OHM JUMPER 1/10W 0603"                                                                                            
C55        0.1uF                         BottomLayer Cap_0603_M                         2362.988      -89.142       180      "0603 100 nF 25 V -20 / +80 % Tolerance Y5V SMT Multilayer Ceramic Capacitor"                                                
C14        1uF                           BottomLayer Cap_0603_M                         6047.565      1163.541      180      "0603 1 uF 50 V ±10% Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"                                               
C13        1uF                           BottomLayer Cap_0603_M                         5387.524      1180.358      0        "0603 1 uF 50 V ±10% Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"                                               
C27        1uF                           BottomLayer Cap_0603_M                         5930.453      1378.858      180      "0603 1 uF 50 V ±10% Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"                                               
C29        1uF                           BottomLayer Cap_0603_M                         5503.937      1381.890      270      "0603 1 uF 50 V ±10% Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"                                               
C31        1uF                           BottomLayer Cap_0603_M                         5387.488      1236.358      0        "0603 1 uF 50 V ±10% Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"                                               
